Aufstellung von Informationen zu den 400 deutschen Landkreisen aus verschiedenen Quellen			
Quelle für Kreiskennziffer und Einwohner: https://de.wikipedia.org/wiki/Liste_der_Landkreise_in_Deutschland			
Quelle für Einwohner und Einkommen pro Kopf (2019): http://www.statistikportal.de/de/vgrdl/ergebnisse-kreisebene/einkommen-kreise			
			
Kennzahl	Name	Einwohner	Einkommen
9561	Ansbach, Stadt	41681	22522
9562	Erlangen, Stadt	112385	25815
9563	Fürth, Stadt	128223	24847
9564	Nürnberg, Stadt	515543	23429
9565	Schwabach, Stadt	41056	27401
9571	Ansbach	185316	25044
9572	Erlangen-Höchstadt	138105	27361
9573	Fürth	118695	26771
9574	Nürnberger Land	171143	26945
9575	Neustadt an der Aisch-Bad Windsheim	101272	24298
9576	Roth	127168	25910
9577	Weißenburg-Gunzenhausen	95117	23988
9661	Aschaffenburg, Stadt	174658	25733
9662	Schweinfurt, Stadt	53319	21838
9663	Würzburg, Stadt	126954	26159
9671	Aschaffenburg	70858	25957
9672	Bad Kissingen	103169	24022
9673	Rhön-Grabfeld	79510	24041
9674	Haßberge	84275	23333
9675	Kitzingen	91696	24751
9676	Miltenberg	128743	24543
9677	Main-Spessart	125976	24957
9678	Schweinfurt	115652	24280
9679	Würzburg	162697	25039
9761	Augsburg, Stadt	295830	21123
9762	Kaufbeuren, Stadt	44662	24041
9763	Kempten (Allgäu), Stadt	68940	23231
9764	Memmingen, Stadt	44360	28812
9771	Aichach-Friedberg	135024	27388
9772	Augsburg	255900	26576
9773	Dillingen an der Donau	97172	25638
9774	Günzburg	127342	25328
9775	Neu-Ulm	175823	25494
9776	Lindau (Bodensee)	82085	27411
9777	Ostallgäu	141907	25252
9778	Unterallgäu	146164	26095
9779	Donau-Ries	134324	25963
9780	Oberallgäu	156308	26031
10041	Saarbrücken, Regionalverband	327502	20436
10042	Merzig-Wadern	103471	19988
10043	Neunkirchen	131172	21216
10044	Saarlouis	193732	22027
10045	Saarpfalz-Kreis	141656	24357
10046	St. Wendel	86458	22957
11000	Berlin, Stadt	3664088	21327
12051	Brandenburg an der Havel, Stadt	72040	19504
12052	Cottbus, Stadt und Landkreis Spree-Neiße	98693	20157
12053	Frankfurt (Oder), Stadt	57015	19118
12054	Potsdam, Stadt	182112	22430
12060	Barnim	187343	21714
12061	Dahme-Spreewald	173316	22345
12062	Elbe-Elster	101085	20214
12063	Havelland	164693	21678
12064	Märkisch-Oderland	197195	21753
12065	Oberhavel	214234	22339
12066	Oberspreewald-Lausitz	108396	20790
12067	Oder-Spree	179276	21690
12068	Ostprignitz-Ruppin	98808	20352
12069	Potsdam-Mittelmark	217954	24127
12070	Prignitz	76096	20497
12071	Spree-Neiße	113011	21472
12072	Teltow-Fläming	171554	21399
12073	Uckermark	118250	19621
13003	Rostock, Stadt	209061	19759
13004	Schwerin, Stadt	95609	20537
13071	Mecklenburgische Seenplatte	258057	20554
13072	Rostock	217072	21597
13073	Vorpommern-Rügen	225383	20696
13074	Nordwestmecklenburg	157975	21035
13075	Vorpommern-Greifswald	235773	19601
13076	Ludwigslust-Parchim	211844	21730
14511	Chemnitz, Stadt	244401	20954
14521	Erzgebirgskreis	331917	21359
14522	Mittelsachsen	301474	21428
14523	Vogtlandkreis	223905	21275
14524	Zwickau	312033	21822
14612	Dresden, Stadt	556227	20800
14625	Bautzen	298010	21558
14626	Görlitz	250558	20200
14627	Meißen	240371	22207
14628	Sächsische Schweiz-Osterzgebirge	244722	21753
14713	Leipzig, Stadt	597493	19574
14729	Leipzig	258386	22603
14730	Nordsachsen	197444	21383
15001	Dessau-Roßlau, Stadt	79354	20851
15002	Halle (Saale), Stadt	237865	18527
15003	Magdeburg, Stadt	235775	19692
15081	Altmarkkreis Salzwedel	82687	21136
15082	Anhalt-Bitterfeld	157217	20729
15083	Börde	170567	21830
15084	Burgenlandkreis	177590	20604
15085	Harz	210975	20889
15086	Jerichower Land	89403	21568
15087	Mansfeld-Südharz	133690	20041
15088	Saalekreis	183434	21677
15089	Salzlandkreis	187457	20133
15090	Stendal	110485	19988
15091	Wittenberg	124185	21309
16051	Erfurt, Stadt	213692	20047
16052	Gera, Stadt	92126	20411
16053	Jena, Stadt	110731	19918
16054	Suhl, Stadt	36395	23048
16055	Weimar, Stadt	65098	19745
16061	Eichsfeld	99463	20992
16062	Nordhausen	82456	19811
16063	Wartburgkreis	159937	20978
16064	Unstrut-Hainich-Kreis	101698	19916
16065	Kyffhäuserkreis	73522	19543
16066	Schmalkalden-Meiningen	124241	21705
16067	Gotha	134563	20366
16068	Sömmerda	69107	20384
16069	Hildburghausen	62656	21424
16070	Ilm-Kreis	105606	20112
16071	Weimarer Land	82291	20722
16072	Sonneberg	57044	21785
16073	Saalfeld-Rudolstadt	102139	20878
16074	Saale-Holzland-Kreis	82816	21083
16075	Saale-Orla-Kreis	79632	20789
16076	Greiz	96668	21373
16077	Altenburger Land	88356	20707
